accession_number,artist,title,date,medium,dimensions,edition,matsize,location,notes,photo,condition,value,source,reference,website,image_file_name
CC.2020.GSP.7,"Steichen, Edward",Miss Sousa,1933/84,Gelatin silver print,13.2 x 10.2 in.,,,,Heritage Auctions lot # 97090,,,,,,,
CC.2011.GSP.38,"Stein, Harvey","Women Wearing Ear Muffs, Coney Island",2009,Gelatin silver print,8.875 x 6.5 in.,,20 x 16,,Signature and various info verso,,10/16/17,"$1,075",list,TPS auction cat,http://harveysteinphoto.com,
CC.2018.APP.10,"Steinke, Krista",Branch,2011,Archival pigment print,10 x 10 in.,,,,Signed,,,$200,Appraisal,PDNB Gallery,,
CC.2013.APP.41,"Steinmetz, Mark","Perugia, Italy",1993,Pigmented inkjet print,7.75 x 11 in.,27/50,14 x 18,,"Signature, title, and edition verso; 2013 Fine Print Program",,10/16/17,,,,http://www.marksteinmetz.net,
CC.2016.GSP.74,"Stern, Bert",Beatniks at Home with Black Cat,1960,Gelatin silver print,13.75 x 13.75 in.,,,,Various information verso,,11/29/17,,,,,
CC.2015.APP.1,"Stringfellow, Kim","Abandoned Pro Shop, Salton City Golf Course",2002,Archival pigment print,15 x 18.75 in.,1/10,20 x 24,,"Signature, title, edition, and date verso",,12/18/17,$750,Artist,,http://www.kimstringfellow.com,
CC.2011.CP.10,"Stringfellow, Kim","Abandoned Trailer, Bombay Beach, CA",2000/07,Chromogenic print,10 x 12.5 in.,1/10,16 x 20,,"Signature recto, fotovision port 3",,12/18/17,,,,http://www.kimstringfellow.com,
CC.2015.APP.2,"Stringfellow, Kim","Brewer Homestead, USP 1146096",2010-2013,Archival pigment print,14.375 x 18.5 in.,1/10,20 x 24,,"Signature, title, and edition verso",,12/18/17,$750,Artist,,http://www.kimstringfellow.com,
CC.2015.APP.3,"Stringfellow, Kim","Flooded Building, Bombay Beach ",2000,Archival pigment print,15 x 18.75 in.,1/10,10 x 24,,"signature, title, and edition verso",,11/13/17,$750,Artist,,http://www.kimstringfellow.com,
CC.2015.APP.4,"Stringfellow, Kim","Kenny Homestead, USP 1161706",2010-2013,Archival pigment print,14.375 x 18.5 in.,1/10,20 x 24,,"Signature, title, and edition verso",,12/18/17,$750,Artist,,http://www.kimstringfellow.com,
CC.2015.APP.5,"Stringfellow, Kim",North Shore Marina,2000,Archival pigment print,15 x 18.75 in.,1/10,,,"Signature, title, date, and edition verso",,1/11/18,$750,Artist,,http://www.kimstringfellow.com,
CC.2015.APP.6,"Stringfellow, Kim","Siroshton Homestead, USP 1175423",2010-2013,Archival pigment print,14.25 x 18.5 in.,1/10,20 x 24,,"Signature, title, edition, and date verso",,12/18/17,$750,Artist,,http://www.kimstringfellow.com,
CC.2015.BOOK.1,"Stringfellow, Kim",Twentysix Abandoned Jackrabbit Homesteads,2013,Book (22/25),6.8 x 6.6 in.,,,,"Signed, limited edition",,,$100,Artist,,http://www.kimstringfellow.com,
CC.2015.APP.7,"Stringfellow, Kim","Wormus Homestead, USP 1213143",2010-2013,Archival pigment print,14.375 x 18.5 in.,1/10,20 x 24,,"Signature, title, date, and edition verso",,12/18/17,$750,Artist,,http://www.kimstringfellow.com,
CC.2011.APP.35,"Strom, Stephen",Death Valley Floor from Dante's View,2011,Archival pigment print,10 x 10 in.,10/15,16 x 16,,Signature and edition recto,,10/16/17,$550,auction list,TPS ,http://www.stephenstrom.com,
CC.2016.APP.17,"Stromee, Vicky",Hydrangea with Dandelion,2015,Archival pigment print,6 x 6 in.,1/20,14 x 11,,"Signature, edition, and date recto; TPS print program",,,,,,,
CC.2016.GSP.75-84,"Sudek, Joseph ","Portfolio: 12 prints, booklet",1976,Gelatin silver print,8.4 x 11.4 in.,,,,signed; 11.75 x 8.875 in. paper,,,,,,,
CC.2016.GSP.85,"Sudek, Joseph ",,1976,Gelatin silver print,8.4 x 11.4 in.,,20 x 16,,signed; 11.75 x 8.875 in. paper,,,,,,,
CC.2016.GSP.86,"Sudek, Joseph ",,1976,Gelatin silver print,8.4 x 11.4 in.,,20 x 16,,signed; 11.75 x 8.875 in. paper,,,,,,,
CC.2018.APP.11,"Suchy, Lida",Siblings on Polonyma,1995,Archival pigment print,11 x 13.75 in.,,,,Signed,,,$300,Appraisal,PDNB Gallery,,
CC.2003.GSP.62,"Tapper, Fannie",Laughing Girl,1992,Gelatin silver print,10 x 10 in.,,16 x 20,,"11x14 paper, signed, image 10x10, mat 20x16",,9/18/17,$600,"artist quote, Mar 04",via email,,
CC.2011.GSP.39,"Thelwell, Susan Hayre",Lily,,Selenium toned gelatin silver print,8 x 5.5 in.,,13 x 10,,,,11/6/17,,,,,
CC.2011.PP.3,"Thomas, Hank Willis",Branded Chest,2003,Platinum print,10 x 6.5 in.,,18 x 14,,,,11/6/17,,,,http://www.hankwillisthomas.com,
CC.2011.APP.36,"Thompson, Cole","Death Valley Dune, #10",2011,Archival pigment print,8.125 x 12.125 in.,,16 x 20,,Signature and title recto,,11/8/17,"$1,000",auction list,TPS ,http://www.colethompsonphotography.com,
CC.2018.APP.12,"Thornhill, Ashton",Nineteen Hay Bales,2017,Archival pigment print,11 x 11 in.,,,,Signed,,,$200,Appraisal,PDNB Gallery,,
CC.2014.APP.13,"Tinnen, Lupita Murillo",They Walked,2010,Archival pigment print,15.5 x 19.5 in.,3/25,,,"TPS, 2014 Print Program; various info verso; reprint in 2018",,,$200,Appraisal,PDNB Gallery,http://www.lupitatinnen.com/CV.html,
CC.2011.APP.37,"Tolan, William",Untitled (No. 1),2006/08,Archival pigment print,22 x 27 in.,,,JO 4.122,matted and framed 28x34,,,"$1,500",TPS,,http://www.williamtolan.com,
CC.2003.DSP.1,"Tsinhnahjinnie, Hulleah",Idelia,95/97,Dye-sublimation print,9.5 x 7.375,,20 x 16,,"8.5x12 paper, signature and date recto",,9/18/17,$275,same,Light Work Store,,
CC.2011.CP.6,"Padilla, Darcy","Untitled, Havana, Cuba, 1996",1996,Chromogenic print,11 x 14 in.,,,,"Signature recto, portfolio 4",,10/25/17,,,fotovision,http://www.darcypadilla.com,
CC.2011.CP.7,"Panas, Lydia",Mallory,,Chromogenic print,17.75 x 22.5in.,,23.5 x 28.25,,,,12/4/17,,,,http://www.lydiapanas.com,
CC.2003.GSP.49,"Parks, Gordon","Ella Watson, American Gothic, Washington, DC",1942,Gelatin silver print,13.25 x 9.75 in.,,24 x 20,,"Signature and date verso, 11x14 paper",,9/27/17,"$2,500",minimum price from info sheet,A Gallery,,
CC.2014.APP.12,"Patterson, Christian",Prarie Grass Leak,2009,Archival pigment print,7.875 x 9.875 in.,7/50,,,"Signature and edition verso; LightWork, 2015 Print Program",,12/4/17,$300,Lightwork,,http://www.christianpatterson.com/#1,
CC.2011.GSP.36,"Perry, Sean",Truce,2005/06,Toned gelatin silver print,6 x 5.875 in.,,13 x 12,,"8 ply window mat, Signature and edition verso",,10/2/17,$225,list,TPS contact sheet,http://www.seanperry.com,
CC.2003.CP.7,"Pfahl, John",Bethlehem #25,1988,Chromogenic print,10 x 10 in.,,20 x 16,,"Signature, date, and title verso, 14x11 paper",,10/2/17,$360,"simil, auction 6/17/95",Butterfield&Butterfield,,
CC.2003.CP.8,"Phelps, Brent W.","Two Medicine Fight Site, Montana",1997,Chromogenic print,4.3 x 13.5in.,,20 x 24,,"5.5x14 paper, signed",,,$250,"artist quote, Feb 04",phelps@unt.edu,,
CC.2019.DTP.1,"Porter, Eliot Furness",Aspens in Early Spring,1957,Dye-transfer print,8.4 x 10.5 in.,,,,From The Seasons portfolio,,,$444,Appraisal,PDNB Gallery,,
CC.2019.DTP.2,"Porter, Eliot Furness",Cypress Swamp,1954,Dye-transfer print,8.4 x 10.5 in.,,,,From The Seasons portfolio,,,$444,Appraisal,PDNB Gallery,,
CC.2019.DTP.3,"Porter, Eliot Furness",Eroded Rock,1953,Dye-transfer print,8.4 x 10.5 in.,,,,From The Seasons portfolio,,,$444,Appraisal,PDNB Gallery,,
CC.2019.DTP.4,"Porter, Eliot Furness",Foxtail Grass,1957,Dye-transfer print,8.4 x 10.5 in.,,,,From The Seasons portfolio,,,$444,Appraisal,PDNB Gallery,,
CC.2019.DTP.5,"Porter, Eliot Furness",Maple Blossoms in a Woodland Pool,1961,Dye-transfer print,8.4 x 10.5 in.,,,,From The Seasons portfolio,,,$444,Appraisal,PDNB Gallery,,
CC.2019.DTP.6,"Porter, Eliot Furness",Ponderosa Pine,1960,Dye-transfer print,8.4 x 10.5 in.,,,,From The Seasons portfolio,,,$444,Appraisal,PDNB Gallery,,
CC.2019.DTP.7,"Porter, Eliot Furness",Rhodora,1953,Dye-transfer print,8.4 x 10.5 in.,,,,From The Seasons portfolio,,,$444,Appraisal,PDNB Gallery,,
CC.2019.DTP.8,"Porter, Eliot Furness",Snow and Grass,1959,Dye-transfer print,8.4 x 10.5 in.,,,,From The Seasons portfolio,,,$444,Appraisal,PDNB Gallery,,
CC.2019.DTP.9,"Porter, Eliot Furness",Snow on Sand Dunes,1959,Dye-transfer print,8.4 x 10.5 in.,,,,From The Seasons portfolio,,,$444,Appraisal,PDNB Gallery,,
CC.2019.DTP.10,"Porter, Eliot Furness",Spruce Trees and River,1959,Dye-transfer print,8.4 x 10.5 in.,,,,From The Seasons portfolio,,,$444,Appraisal,PDNB Gallery,,
CC.2019.DTP.11,"Porter, Eliot Furness",Weeds in Rock Cracks,1955,Dye-transfer print,8.4 x 10.5 in.,,,,From The Seasons portfolio,,,$444,Appraisal,PDNB Gallery,,
CC.2019.DTP.12,"Porter, Eliot Furness",Yellow Aspens,1951,Dye-transfer print,8.4 x 10.5 in.,,,,From The Seasons portfolio,,,$444,Appraisal,PDNB Gallery,,
CC.2003.GSP.50,"Priola, J. John",Crystal Ball,94/95,Gelatin silver print,16.5 x 13.5 in.,,No mat,,signed,,9/25/17,$700,"simil, auction 6/17/95",Butterfield&Butterfield,http://www.jjohnpriola.com,
CC.2019.APP.28,"Pujol, Ernesto",Baptism (Catechumen),2009,Archival pigment print,5.875 x 18 in.,2/50,,,"2019 Lightwork Fine Print Program, signed",,,600,Appraisal,PDNB Gallery,,
CC.2019.GSP.23,"Regan, Ken",Carly Simon,1980,Gelatin silver print,13.4 x 9 in.,,,,,,,$150,Appraisal,PDNB Gallery,,
CC.2019.GSP.24,"Regan, Ken","Grace Slick, Jefferson Airplane",1968,Gelatin silver print,13.4 x 9 in.,,,,,,,$150,Appraisal,PDNB Gallery,,
CC.2019.GSP.25,"Regan, Ken",Iggy Pop,1984,Gelatin silver print,13.4 x 9 in.,,,,,,,$150,Appraisal,PDNB Gallery,,
CC.2019.GSP.26,"Regan, Ken",John and Chris McVie (Fleetwood Mac),,Gelatin silver print,13.4 x 9 in.,,,,,,,$150,Appraisal,PDNB Gallery,,
CC.2019.GSP.27,"Regan, Ken",Peter Frampton,,Gelatin silver print,13.4 x 9 in.,,,,,,,$150,Appraisal,PDNB Gallery,,
CC.2019.GSP.28,"Regan, Ken",Rod Stewart,1972,Gelatin silver print,13.4 x 9 in.,,,,,,,$150,Appraisal,PDNB Gallery,,
CC.2011.APP.29,"Reynolds, Richard","Big Bend National Park, TX, January 2001",2001,Ultrachrome archival ink from 4x5 fujichrome,10.5 x 13.5 in.,,16 x 20,,Signature recto,Yes,12/18/17,$225,list,TPS contact sheet,http://richardreynolds.photoshelter.com/#!/index,
CC.2003.GSP.51,"Riboud, Mark","Karuizawa, Japan",58/9?,Gelatin silver print,14 x 9.5 in.,,20 x 24,,"12x16 paper, signed",,,"$3,500",simil MR-18368,A Gallery,http://marcriboud.com,
CC.2003.GSP.52,"Richards, Patricia D.",Barefoot with Brent,97/99,Gelatin silver print,8 x 9.875 in.,,20 x 16,,,Yes,9/20/17,$500,simil Jesse's Gang,PhotosDoNotBend,,
CC.2011.APP.30,"Rinnhofer, Angelika",Menschenkunde VII,2005,Archival pigment print,10 x 8 in.,,18 x 14,,"Signature verso, on 11x14 paper",,11/6/17,,,,http://www.angelikarinnhofer.com,
CC.2011.CP.8,"Robinson, Lisa M.",Bound,2005,Chromogenic print,,,,JO 4.122,framed 20x24,,,"$1,200",,,http://www.lisamrobinson.com,
CC.2003.GSP.53,"Rodger, George","Messakin Tiwal Nuba Girl with Lip Plug, Kordofan",1949,Gelatin silver print,12 x 8 in.,,,,"Signature, title, and date verso; Mother Jones portfolio #6",,11/6/17,"$1,134","simil, auction 5/11/01 ",Christie's S Kensingtn,,
CC.2011.GSP.37,"Rosenthal, Ken",A Dream Half Remembered #FB-41-1,2005,Split-toned gelatin silver print,9.4375 x 9.4375 in.,,20 x 16,,"Signature, title, and date verso; 11x14 paper",,11/13/17,,,,http://www.kenrosenthal.com,
CC.2003.GSP.54,"Ross, Alan","Leidig Meadow, Evening Clouds",83/98,Toned gelatin silver print,9 x 11.375 in.,9/98,No mat,,"Signature recto, stamp and info verso, 11x14 paper",Yes,9/25/17,"$1,900","simil, auction 5/15/03",Swann Galleries,http://www.alanrossphotography.com,
CC.2019.GSP.29,"Roth, Harold","Street Beach, NYC",1946/97,Gelatin silver print,10.6 x 13.4 in.,,,,Signed,,,$700,Appraisal,PDNB Gallery,,
CC.2019.GSP.30,"Rothstein, Arthur","Cowhand, William Tonn Ranch, Custer County, Montana",1939,Gelatin silver print,????,,,,Heritage Auctions lot# 97080,,,$320,Appraisal,PDNB Gallery,,
CC.2019.GSP.31,"Rothstein, Arthur","Farmer and Sons Walking in the Face of a Dust Storm, Cimarron County, Oklahoma",1936,Gelatin silver print,????,,,,Heritage Auctions lot# 97080,,,$320,Appraisal,PDNB Gallery,,
CC.2019.GSP.32,"Rothstein, Arthur","Temporary Schoolhouse, Bosque Farms, New Mexico",1936,Gelatin silver print,????,,,,Heritage Auctions lot# 97080,,,$320,Appraisal,PDNB Gallery,,
CC.2013.APP.40,"Rozovsky, Irina",Untitled (from One to Nothing),2011,Archival pigment print,10.125 x 10.125 in.,4/50,18 x14,,"Signature and edition verso, 11x14 paper, 2014 Fine Print Program",,10/16/17,,,,http://www.irinar.com,
CC.2019.GSP.33,"Vachon, John","Cars Parked Diagonally along Parking Meters, Omaha, Nebraska",1938,Gelatin silver print,????,,,,Heritage Auctions lot# 97080,,,$320,Appraisal,PDNB Gallery,,
CC.2019.GSP.34,"Vachon, John",Sleds and American Flag,1938,Gelatin silver print,????,,,,Heritage Auctions lot# 97080,,,$320,Appraisal,PDNB Gallery,,
CC.2003.GSP.63,"Van Cleef, June","T.S.Redford, Lund Ranch",82/97,Gelatin silver print,12 x 9 in.,,20 x 24,,"14x11 paper, selenium toned, signed",,,$450,"artist quote, Feb 04",jvancleef@CCCD.edu,,
CC.2003.GSP.64,"Vargas, Kathy",Angel Denny #2,1998,Hand-colored gelatin silver print,11.875 x 9 in.,,No mat,,"Signature verso, 11x14 paper",,9/20/17,$250,"artist quote, Mar 04",via email,,
CC.2017.V.1-31,Various Artists,Iconography (31 photographs),1981-82,Various,Various,,,,"Heritage Auction, Lot #73642",,,$406,Appraisal,PDNB Gallery,,
CC.2011.GSP.40,"Vignes, Michelle","Columbus Day, a Day of Mourning, San Francisco",1969,Gelatin silver print,6 x 9 in.,,20 x 16,,Signature and date verso,,9/18/17,$450,list price,fotovision port 1,,
CC.2011.CP.11,"Vitale, Ami",Kashmir,2004/07,Chromogenic print,7.75 x 11.875 in.,,,,"Signature recto, fotovision port 3",,10/25/17,,,,http://www.amivitale.com,
CC.2017.APP.9,"Vrba, Lori",Blindfold 2012,2012,Archival pigment print,10 x 10 in.,3/50,,,TPS 2017 Print  Program,,11/29/17,$195,Appraisal,PDNB Gallery,,
CC.2016.APP.18,"Wang, Sam",Cemetery - Spain,2015,Archival pigment print,11 dia,2/20,,,Signature and edition recto; TPS member point,,11/29/17,,,,,
CC.2011.APP.38,"Watson, Carol",Swayback Barn,2005,Archival pigment print,10 x 13 in.,3/25,16 x 20,,"Signature, date, and edition verso, overmat with hinge",,9/27/17,,,,http://www.cwatsonphoto.com/,
CC.2017.APP.10,"Weems, Carrie Mae",Blue Notes (Claudia Lennear #1),2014-15,Archival pigment print,12.5 x 9.125 in.,7/30,,,"Signature, date, and edition verso; Aperture Collectors Series",,11/6/17,$625,Appraisal,PDNB GALLERY,,
CC.2013.APP.42,"Weems, Carrie Mae",Untitled,2003,Archival pigment print with text,10 x 10 in.,,20 x 16,,"Signed verso, The Eatonville Portfolio",,9/18/17,,,,http://carriemaeweems.net/,
CC.2013.GSP.20,"Wegman, William",Cross Training,2005,Gelatin silver print,14 x 11 in.,15/100,20 x 16,,"Signature, date, title, edition verso, 2012 Master Print Edition",,10/16/17,,,,http://www.wegmanworld.com/,
CC.2003.GSP.65,"Weiner, Dan","New Year's Eve,Times Square, New York City",1951,Gelatin silver print,13.4 x 8.7 in.,,20 x 24,,"14x11 paper, signed",,,"$4,000",same,Robert Mann Gallery,,
CC.2003.GSP.66,"Weiner, Dan","Martin Luther King, Jr. Montgomery, Alabama",1956,Gelatin silver print,10.5 x 13.5 in.,,20 x 24,,"11x14 paper, signed",,,"$4,000",simil to above definitive portrait,Robert Mann Gallery,,
CC.2019.APP.32,"Weingart, Jason",The Stars at Night,2012,Archival pigment print,12 x 18 in.,,,,Signed,,,$200,Appraisal,PDNB Gallery,,
CC.2011.APP.39,"Weinstein, Sandra Chen",Boys of Diwali,,Archival pigment print,10.25 x 15.5 in.,,16 x 20,,,,11/6/17,$935,TPS,TPS auction cat,http://www.cm2-scw.com/,
CC.2011.APP.40,"Weinstein, Sandra Chen",Girl at the Mosque,2010,Archival pigment print,13.25 x 8.75 in.,,20 x 16,,Signed verso on mat,,10/16/17,$755,list,TPS auction cat,http://www.cm2-scw.com/,
CC.2013.APP.43,"Weinstein, Sandra Chen",Who Dat,2012,Archival pigment print,7.25 x 10.25 in.,3/20,,,"Signature, date, and edition recto",,12/13/17,,,,http://www.cm2-scw.com/,
CC.2013.GSP.21,"Welling, James","Tile Photograph 8, 1985",2013,Gelatin silver print,9.5 x 7.5 in.,45/50,18 x 14,,"Signature and edition verso, 11x14 paper, 2014 Fine Print Program",,10/16/17,,,,http://jameswelling.net/,
CC.2003.GSP.67,"Weston, Brett",Driftwood,1974,Gelatin silver print,13.5 x 10.4 in.,,20 x 24,,"15x18 mat, signed, one-of-a-kind",,,"$3,500",simil BW-3872,A Gallery,,
CC.2011.GSP.41,"Weston, Kim","Ballet Series 1, #4",2005,Gelatin silver print,9.5625 x 7.626 in.,,18 x 15,,"mounted to 15x18, signed",,9/20/17,,,,http://www.kimweston.com/,
CC.2011.APP.41,"Whitlock, Neil",Joshua,2009,Archival pigment print,9.75 x 14.75 in.,1/50,15.5 x 20.5,,"Signature, date, title, edition verso",,10/16/17,$600,list,TPS auction cat,http://neillwhitlock.com/,
CC.2013.APP.44,"Willis, Deborah",View from the Pulpit,2003,Archival pigment print,8 x 10 in.,,16 x 20,,"Signed recto, The Eatonville Portfolio",,9/18/17,,,,http://debwillisphoto.com/home.html,
CC.2017.APP.11,"Wilson, Letha",Glacier Sky (back to back),2016,Archival pigment print,15.5 x 11.75 in.,4/50,,,Light Work 2017 Fine Print,,11/6/17,$500,Appraisal,PDNB GALLERY,,
CC.2019.GSP.35,"Wolcott, Marion Post",,,Gelatin silver print,4.5 x 6 in.,,,,Farm Security Administration; photograph used by the artist as postcard,,,$857,Appraisal,PDNB GALLERY,,
CC.2019.GSP.36,"Wolcott, Marion Post",,,Gelatin silver print,4.5 x 6 in.,,,,Farm Security Administration; photograph used by the artist as postcard,,,$857,Appraisal,PDNB GALLERY,,
CC.2019.GSP.37,"Wolcott, Marion Post",,,Gelatin silver print,4.5 x 6 in.,,,,Farm Security Administration; photograph used by the artist as postcard,,,$857,Appraisal,PDNB GALLERY,,
CC.2019.GSP.38,"Wolcott, Marion Post",,,Gelatin silver print,4.5 x 6 in.,,,,Farm Security Administration; photograph used by the artist as postcard,,,$857,Appraisal,PDNB GALLERY,,
CC.2019.GSP.39,"Wolcott, Marion Post",,,Gelatin silver print,4.5 x 6 in.,,,,Farm Security Administration; photograph used by the artist as postcard,,,$857,Appraisal,PDNB GALLERY,,
